pmon_snapshot(pid,sm,mem,enc,dec,command) - sampled every 1s
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260402    12:52:02       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:03       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:04       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:05       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:06       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:07       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:08       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:09       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:10       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:11       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:12       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:13       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:14       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:15       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:16       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:18       0          -     -      -      -      -      -      -      -      -      -    -              
 20260402    12:52:19       0    2309924     C      1      0      -      -      -      -    418      0    python         
 20260402    12:52:21       0    2309924     C      0      0      -      -      -      -    504      0    python         
 20260402    12:52:22       0    2309924     C      0      0      -      -      -      -    504      0    python         
 20260402    12:52:23       0    2309924     C      0      0      -      -      -      -    580      0    python         
 20260402    12:52:24       0    2309924     C      0      0      -      -      -      -   2130      0    python         
 20260402    12:52:25       0    2309924     C      7      5      -      -      -      -  34940      0    python         
 20260402    12:52:26       0    2309924     C     22      8      -      -      -      -  40420      0    python         
 20260402    12:52:27       0    2309924     C      5      1      -      -      -      -  40420      0    python         
 20260402    12:52:28       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:29       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:30       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:31       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:32       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:33       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:34       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:35       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:36       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:38       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:39       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:40       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:41       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:42       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:43       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:45       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:46       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:47       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:48       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:49       0    2309924     C      0      0      -      -      -      -  40420      0    python         
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260402    12:52:50       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:51       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:52       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:53       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:54       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:55       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:56       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:57       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:58       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:52:59       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:53:00       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:53:01       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:53:03       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:53:04       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:53:05       0    2309924     C      0      0      -      -      -      -  40420      0    python         
 20260402    12:53:06       0          -     -      -      -      -      -      -      -      -      -    -              
