timestamp,index,memory.used(MiB),util.gpu(%),util.mem(%),temp(C),power(W)
2026/04/13 19:25:15.391, 0, 0, 0, 0, 32, 25.21
2026/04/13 19:25:15.395, 1, 0, 0, 0, 31, 24.72
2026/04/13 19:25:16.399, 0, 0, 0, 0, 32, 25.23
2026/04/13 19:25:16.402, 1, 0, 0, 0, 31, 24.72
2026/04/13 19:25:17.406, 0, 0, 0, 0, 32, 25.11
2026/04/13 19:25:17.409, 1, 0, 0, 0, 31, 24.72
2026/04/13 19:25:18.415, 0, 0, 0, 0, 32, 25.13
2026/04/13 19:25:18.421, 1, 0, 0, 0, 31, 24.72
2026/04/13 19:25:19.425, 0, 4, 0, 0, 32, 25.13
2026/04/13 19:25:19.428, 1, 4, 0, 0, 31, 24.62
2026/04/13 19:25:20.432, 0, 0, 0, 0, 32, 25.13
2026/04/13 19:25:20.435, 1, 0, 0, 0, 31, 24.72
2026/04/13 19:25:21.446, 0, 0, 0, 0, 32, 25.13
2026/04/13 19:25:21.450, 1, 0, 0, 0, 31, 24.72
2026/04/13 19:25:22.454, 0, 0, 0, 0, 32, 25.13
2026/04/13 19:25:22.457, 1, 0, 0, 0, 31, 24.72
2026/04/13 19:25:23.461, 0, 0, 0, 0, 32, 25.13
2026/04/13 19:25:23.464, 1, 0, 0, 0, 31, 24.72
2026/04/13 19:25:24.468, 0, 0, 0, 0, 32, 25.23
2026/04/13 19:25:24.477, 1, 0, 0, 0, 31, 24.72
2026/04/13 19:25:25.489, 0, 0, 0, 0, 32, 25.11
2026/04/13 19:25:25.499, 1, 0, 0, 0, 31, 24.72
2026/04/13 19:25:26.504, 0, 0, 0, 0, 32, 25.13
2026/04/13 19:25:26.506, 1, 0, 0, 0, 31, 24.62
2026/04/13 19:25:27.510, 0, 4, 0, 0, 32, 25.11
2026/04/13 19:25:27.513, 1, 4, 0, 0, 31, 24.71
2026/04/13 19:25:28.524, 0, 4, 0, 0, 32, 25.13
2026/04/13 19:25:28.526, 1, 4, 0, 0, 31, 24.72
2026/04/13 19:25:29.530, 0, 4, 0, 0, 31, 25.13
2026/04/13 19:25:29.533, 1, 4, 0, 0, 31, 24.72
2026/04/13 19:25:30.537, 0, 376, 0, 0, 32, 36.38
2026/04/13 19:25:30.540, 1, 376, 0, 0, 32, 37.01
2026/04/13 19:25:31.544, 0, 2142, 28, 8, 34, 91.28
2026/04/13 19:25:31.547, 1, 2144, 21, 5, 33, 77.50
2026/04/13 19:25:32.551, 0, 2274, 74, 22, 37, 104.93
2026/04/13 19:25:32.554, 1, 2274, 77, 21, 36, 162.02
2026/04/13 19:25:33.561, 0, 2274, 76, 22, 38, 191.52
2026/04/13 19:25:33.563, 1, 2274, 73, 21, 37, 198.37
2026/04/13 19:25:34.567, 0, 2274, 68, 20, 39, 145.04
2026/04/13 19:25:34.570, 1, 2274, 65, 21, 38, 152.86
2026/04/13 19:25:35.574, 0, 3314, 57, 18, 39, 55.04
2026/04/13 19:25:35.576, 1, 3314, 56, 17, 39, 95.75
2026/04/13 19:25:36.580, 0, 3316, 73, 22, 39, 150.17
