pmon_snapshot(pid,sm,mem,enc,dec,command) - sampled every 1s
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260414    10:38:53       0          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:38:53       1          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:38:54       0          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:38:54       1          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:38:55       0          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:38:55       1          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:38:56       0          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:38:56       1          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:38:58       0          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:38:58       1          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:38:59       0          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:38:59       1          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:39:00       0          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:39:00       1          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:39:01       0          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:39:01       1          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:39:02       0          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:39:02       1          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:39:03       0          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:39:03       1          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:39:04       0          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:39:04       1          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:39:05       0          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:39:05       1          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:39:06       0          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:39:06       1          -     -      -      -      -      -      -      -      -      -    -              
 20260414    10:39:07       0    1119772     C      2      0      -      -      -      -    308      0    python         
 20260414    10:39:07       1    1119773     C      2      0      -      -      -      -    308      0    python         
 20260414    10:39:08       0    1119772     C      0      0      -      -      -      -    314      0    python         
 20260414    10:39:08       1    1119773     C      0      0      -      -      -      -    314      0    python         
 20260414    10:39:09       0    1119772     C      4      2      -      -      -      -   1364      0    python         
 20260414    10:39:09       1    1119773     C      6      4      -      -      -      -   1364      0    python         
 20260414    10:39:10       0    1119772     C     32     25      -      -      -      -   1364      0    python         
 20260414    10:39:10       1    1119773     C     35     27      -      -      -      -   1364      0    python         
 20260414    10:39:11       0    1119772     C     47     37      -      -      -      -   1364      0    python         
 20260414    10:39:11       1    1119773     C     49     39      -      -      -      -   1364      0    python         
 20260414    10:39:13       0    1119772     C     44     35      -      -      -      -   1364      0    python         
 20260414    10:39:13       1    1119773     C     44     35      -      -      -      -   1364      0    python         
 20260414    10:39:14       0    1119772     C     50     40      -      -      -      -   1364      0    python         
 20260414    10:39:14       1    1119773     C     48     38      -      -      -      -   1364      0    python         
 20260414    10:39:15       0    1119772     C     55     43      -      -      -      -   1364      0    python         
 20260414    10:39:15       1    1119773     C     49     39      -      -      -      -   1364      0    python         
 20260414    10:39:16       0    1119772     C     48     38      -      -      -      -   1364      0    python         
 20260414    10:39:16       1    1119773     C     47     37      -      -      -      -   1364      0    python         
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260414    10:39:17       0    1119772     C     50     40      -      -      -      -   1364      0    python         
 20260414    10:39:17       1    1119773     C     49     38      -      -      -      -   1364      0    python         
 20260414    10:39:18       0    1119772     C     49     39      -      -      -      -   1364      0    python         
 20260414    10:39:18       1    1119773     C     53     41      -      -      -      -   1364      0    python         
 20260414    10:39:19       0    1119772     C     50     39      -      -      -      -   1364      0    python         
 20260414    10:39:19       1    1119773     C     52     41      -      -      -      -   1364      0    python         
 20260414    10:39:20       0    1119772     C     41     33      -      -      -      -   2102      0    python         
 20260414    10:39:20       1    1119773     C     41     33      -      -      -      -   2102      0    python         
 20260414    10:39:21       0    1119772     C     41     33      -      -      -      -   2102      0    python         
